EmployeeID,EmployeeName,Position,GasStationID,PhoneNumber,Email,StartDate,Address
54,Employee 54,Manager,1,0636887774,employee54@example.com,2023-05-30,"Cau Sai Gon, City"
55,Employee 55,Cashier,31,0800998286,employee55@example.com,2024-01-28,"Ham Nghi, City"
56,Employee 56,Pump Attendant,41,0582436513,employee56@example.com,2024-01-19,"Duong Nguyen Thi Minh Khai, City"
57,Employee 57,Manager,63,0884749184,employee57@example.com,2023-04-07,"Duong Nam Ky Khoi Nghia, City"
58,Employee 58,Maintenance,6,0995535218,employee58@example.com,2023-12-07,"Le Lai, City"
59,Employee 59,Pump Attendant,75,0647885664,employee59@example.com,2023-08-06,"Duong Le Loi, City"
60,Employee 60,Pump Attendant,62,0739601743,employee60@example.com,2024-03-29,"Bach Dang, City"
61,Employee 61,Maintenance,65,0988903809,employee61@example.com,2024-01-11,"Vo Van Ngan, City"
62,Employee 62,Pump Attendant,100,0465729108,employee62@example.com,2024-01-31,"Cau Sai Gon, City"
63,Employee 63,Cashier,65,0125277717,employee63@example.com,2023-04-15,"Nguyen Dinh Chieu, City"
64,Employee 64,Pump Attendant,34,0962353675,employee64@example.com,2024-03-10,"Duong Ton Duc Thang, City"
65,Employee 65,Manager,23,0146073577,employee65@example.com,2023-07-29,"Nguyen Hong, City"
66,Employee 66,Manager,66,0593674326,employee66@example.com,2023-12-21,"Ly Thai To, City"
67,Employee 67,Cashier,76,0688742160,employee67@example.com,2023-10-30,"Xo Viet Nghe Tinh, City"
68,Employee 68,Manager,93,0176456081,employee68@example.com,2023-10-23,"Duong Tran Quoc Thao, City"
69,Employee 69,Pump Attendant,4,0207468185,employee69@example.com,2023-10-07,"Duong Truong Dinh, City"
70,Employee 70,Cashier,11,0656987807,employee70@example.com,2024-02-06,"Duong Tran Quoc Thao, City"
71,Employee 71,Manager,8,0131772064,employee71@example.com,2023-09-01,"Nguyen Hong, City"
72,Employee 72,Manager,27,0135112005,employee72@example.com,2023-07-31,"Duong Nguyen Huu Canh, City"
73,Employee 73,Manager,49,0229336856,employee73@example.com,2024-03-05,"An Duong Vuong, City"
74,Employee 74,Maintenance,28,0368946830,employee74@example.com,2023-06-21,"Duong Tran Hung Dao, City"
75,Employee 75,Cashier,69,0716022913,employee75@example.com,2023-04-13,"Duong Hung Vuong, City"
76,Employee 76,Manager,37,0491851024,employee76@example.com,2023-12-08,"Duong Truong Dinh, City"
77,Employee 77,Manager,90,0392047192,employee77@example.com,2023-09-13,"Hong Bang, City"
78,Employee 78,Cashier,48,0792716732,employee78@example.com,2023-06-16,"Duong Tran Hung Dao, City"
79,Employee 79,Pump Attendant,19,0142291311,employee79@example.com,2024-02-29,"Nam Ky Khoi Nghia, City"
80,Employee 80,Cashier,50,0252742247,employee80@example.com,2024-03-21,"Duong Hung Vuong, City"
81,Employee 81,Pump Attendant,59,0861273719,employee81@example.com,2024-01-24,"Nguyen Van Cu, City"
82,Employee 82,Maintenance,23,0507725734,employee82@example.com,2023-08-05,"Bach Dang, City"
83,Employee 83,Pump Attendant,60,0927018282,employee83@example.com,2024-02-20,"Duong Dien Bien Phu, City"
84,Employee 84,Manager,37,0729417508,employee84@example.com,2023-12-13,"Bach Dang, City"
85,Employee 85,Cashier,44,0181190274,employee85@example.com,2023-09-22,"Duong Nguyen Hue, City"
86,Employee 86,Manager,15,0402060967,employee86@example.com,2023-08-04,"Duong Phan Xich Long, City"
87,Employee 87,Pump Attendant,95,0758621120,employee87@example.com,2023-10-18,"Vo Van Ngan, City"
88,Employee 88,Maintenance,95,0199476257,employee88@example.com,2023-04-10,"Xa Lo Ha Noi, City"
89,Employee 89,Cashier,31,0576974230,employee89@example.com,2023-10-09,"Cau Sai Gon, City"
90,Employee 90,Pump Attendant,61,0371042621,employee90@example.com,2023-04-20,"Xo Viet Nghe Tinh, City"
91,Employee 91,Manager,2,0492377813,employee91@example.com,2024-02-16,"Cach Mang Thang Tam, City"
92,Employee 92,Maintenance,55,0873102399,employee92@example.com,2023-07-21,"Duong Pham Ngoc Thach, City"
93,Employee 93,Manager,69,0535025716,employee93@example.com,2023-05-28,"Duong Phan Xich Long, City"
94,Employee 94,Maintenance,94,0155501855,employee94@example.com,2024-01-23,"Bach Dang, City"
95,Employee 95,Maintenance,96,0442837263,employee95@example.com,2024-02-15,"Duong Vo Thi Sau, City"
96,Employee 96,Pump Attendant,70,0732255594,employee96@example.com,2024-03-17,"Duong Tran Quoc Thao, City"
97,Employee 97,Pump Attendant,80,0564874531,employee97@example.com,2023-06-01,"Kinh Duong Vuong, City"
98,Employee 98,Manager,57,0324709907,employee98@example.com,2024-02-19,"Duong Nguyen Huu Canh, City"
99,Employee 99,Manager,13,0507557098,employee99@example.com,2023-05-29,"Duong Pham Ngoc Thach, City"
100,Employee 100,Manager,26,0704734789,employee100@example.com,2023-09-22,"Nguyen Cong Tru, City"
101,Employee 101,Cashier,69,0428342410,employee101@example.com,2023-10-13,"Nguyen Hong, City"
102,Employee 102,Manager,49,0103453477,employee102@example.com,2023-11-04,"Nguyen Hue, City"
103,Employee 103,Cashier,57,0164259996,employee103@example.com,2023-08-19,"Duong Nguyen Binh Khiem, City"
104,Employee 104,Pump Attendant,67,0323320690,employee104@example.com,2023-10-24,"Duong Phan Xich Long, City"
105,Employee 105,Cashier,42,0634981670,employee105@example.com,2023-07-30,"Hong Bang, City"
106,Employee 106,Cashier,55,0379859875,employee106@example.com,2023-08-27,"Nguyen Dinh Chieu, City"
107,Employee 107,Maintenance,55,0293789483,employee107@example.com,2023-08-03,"Nam Ky Khoi Nghia, City"
108,Employee 108,Maintenance,66,0737127930,employee108@example.com,2023-06-24,"Nguyen Hue, City"
109,Employee 109,Pump Attendant,94,0776474244,employee109@example.com,2024-02-15,"Ton Duc Thang, City"
110,Employee 110,Manager,33,0981305979,employee110@example.com,2024-03-21,"Duong Ton Duc Thang, City"
111,Employee 111,Pump Attendant,6,0683455852,employee111@example.com,2024-02-07,"Duong Hung Vuong, City"
112,Employee 112,Maintenance,8,0114912682,employee112@example.com,2023-05-07,"Duong Nguyen Huu Canh, City"
113,Employee 113,Cashier,15,0328809146,employee113@example.com,2023-05-20,"Le Lai, City"
114,Employee 114,Manager,82,0925212402,employee114@example.com,2023-07-30,"Duong Tran Hung Dao, City"
115,Employee 115,Pump Attendant,20,0453602203,employee115@example.com,2023-12-29,"Phan Van Tri, City"
116,Employee 116,Manager,60,0177775962,employee116@example.com,2023-10-28,"Xa Lo Ha Noi, City"
117,Employee 117,Manager,29,0541397715,employee117@example.com,2023-10-16,"Duong Le Thanh Ton, City"
118,Employee 118,Maintenance,54,0233599450,employee118@example.com,2023-05-14,"Duong Hung Vuong, City"
119,Employee 119,Cashier,80,0318824488,employee119@example.com,2023-04-05,"Nguyen Tri Phuong, City"
120,Employee 120,Maintenance,30,0571731213,employee120@example.com,2023-12-31,"Cach Mang Thang Tam, City"
121,Employee 121,Maintenance,78,0674872472,employee121@example.com,2023-08-25,"Duong Bui Vien, City"
122,Employee 122,Cashier,35,0196465838,employee122@example.com,2024-01-02,"Duong Tran Hung Dao, City"
123,Employee 123,Maintenance,66,0306515064,employee123@example.com,2024-03-16,"Nguyen Dinh Chieu, City"
124,Employee 124,Cashier,93,0484157918,employee124@example.com,2023-06-19,"Dai Lo Dong Tay, City"
125,Employee 125,Cashier,73,0601358972,employee125@example.com,2023-05-14,"Nguyen Van Cu, City"
126,Employee 126,Cashier,17,0887633969,employee126@example.com,2023-08-08,"Duong Cach Mang Thang Tam, City"
127,Employee 127,Manager,79,0389724809,employee127@example.com,2023-05-17,"Le Lai, City"
128,Employee 128,Manager,81,0240794970,employee128@example.com,2023-12-01,"Duong Le Van Sy, City"
129,Employee 129,Maintenance,85,0486912670,employee129@example.com,2023-05-08,"Ky Con, City"
130,Employee 130,Cashier,13,0208329900,employee130@example.com,2023-10-16,"Nam Ky Khoi Nghia, City"
131,Employee 131,Cashier,73,0865216187,employee131@example.com,2023-05-06,"Ha Huy Giap, City"
132,Employee 132,Cashier,67,0810811696,employee132@example.com,2024-02-19,"Le Van Sy, City"
133,Employee 133,Maintenance,93,0988524459,employee133@example.com,2023-09-19,"Ly Thai To, City"
134,Employee 134,Cashier,56,0689302519,employee134@example.com,2023-08-11,"Xa Lo Ha Noi, City"
135,Employee 135,Pump Attendant,65,0917978904,employee135@example.com,2023-08-17,"Duong Nguyen Huu Canh, City"
136,Employee 136,Manager,17,0559605527,employee136@example.com,2023-12-16,"Nguyen Thi Thap, City"
137,Employee 137,Pump Attendant,46,0282543269,employee137@example.com,2024-02-10,"Duong Truong Dinh, City"
138,Employee 138,Manager,13,0234006187,employee138@example.com,2023-07-27,"Dien Bien Phu, City"
139,Employee 139,Manager,4,0113188563,employee139@example.com,2023-05-11,"Tran Nao, City"
140,Employee 140,Pump Attendant,94,0791058003,employee140@example.com,2023-10-07,"Nam Ky Khoi Nghia, City"
141,Employee 141,Maintenance,50,0495632530,employee141@example.com,2023-08-14,"Nguyen Hong, City"
142,Employee 142,Manager,55,0232381661,employee142@example.com,2023-09-02,"Phan Van Tri, City"
143,Employee 143,Pump Attendant,75,0773641589,employee143@example.com,2023-12-29,"Duong Phan Xich Long, City"
144,Employee 144,Pump Attendant,75,0948334663,employee144@example.com,2024-01-18,"Le Lai, City"
145,Employee 145,Manager,60,0345507861,employee145@example.com,2023-06-11,"Tran Hung Dao, City"
146,Employee 146,Cashier,5,0353009836,employee146@example.com,2024-01-28,"Duong Nguyen Huu Canh, City"
147,Employee 147,Manager,9,0320087346,employee147@example.com,2023-11-07,"Le Van Khuong, City"
148,Employee 148,Manager,24,0536547341,employee148@example.com,2023-07-26,"Cau Sai Gon, City"
149,Employee 149,Pump Attendant,83,0939565705,employee149@example.com,2023-08-12,"Duong Cach Mang Thang Tam, City"
150,Employee 150,Maintenance,82,0716113932,employee150@example.com,2024-02-21,"Duong Pasteur, City"
151,Employee 151,Cashier,50,0529806373,employee151@example.com,2023-09-02,"Duong Hai Ba Trung, City"
152,Employee 152,Manager,99,0444792516,employee152@example.com,2023-09-25,"An Duong Vuong, City"
153,Employee 153,Pump Attendant,77,0200157437,employee153@example.com,2023-12-13,"Duong Ton Duc Thang, City"
154,Employee 154,Maintenance,92,0971680492,employee154@example.com,2023-07-19,"Tran Quoc Toan, City"
155,Employee 155,Maintenance,19,0915719410,employee155@example.com,2023-06-14,"Pham Van Dong, City"
156,Employee 156,Pump Attendant,12,0331231464,employee156@example.com,2023-06-19,"Nguyen Tri Phuong, City"
157,Employee 157,Maintenance,8,0612718495,employee157@example.com,2023-04-22,"Cau Sai Gon, City"
158,Employee 158,Cashier,80,0633077960,employee158@example.com,2023-09-25,"Duong Vo Van Kiet, City"
159,Employee 159,Pump Attendant,53,0331042649,employee159@example.com,2023-09-24,"Bach Dang, City"
160,Employee 160,Cashier,81,0360022694,employee160@example.com,2024-01-17,"Duong Phan Xich Long, City"
161,Employee 161,Manager,6,0775874357,employee161@example.com,2023-08-11,"Nguyen Hue, City"
162,Employee 162,Manager,86,0957241980,employee162@example.com,2023-08-19,"Duong Nguyen Tri Phuong, City"
163,Employee 163,Cashier,42,0826930757,employee163@example.com,2024-03-16,"Ly Thai To, City"
164,Employee 164,Pump Attendant,60,0719882675,employee164@example.com,2024-02-06,"Duong Vo Thi Sau, City"
165,Employee 165,Pump Attendant,39,0764976276,employee165@example.com,2023-11-25,"Le Van Sy, City"
166,Employee 166,Pump Attendant,60,0437614926,employee166@example.com,2024-02-09,"Duong Le Duan, City"
167,Employee 167,Pump Attendant,79,0488607483,employee167@example.com,2024-03-15,"Duong Le Loi, City"
168,Employee 168,Maintenance,42,0850398561,employee168@example.com,2023-12-29,"Nguyen Hue, City"
169,Employee 169,Pump Attendant,43,0255661212,employee169@example.com,2024-01-10,"Le Van Sy, City"
170,Employee 170,Manager,25,0855521099,employee170@example.com,2024-03-16,"Duong Nguyen Binh Khiem, City"
171,Employee 171,Maintenance,24,0276066762,employee171@example.com,2023-06-10,"Ly Thai To, City"
172,Employee 172,Pump Attendant,35,0720920078,employee172@example.com,2023-04-29,"Nguyen Dinh Chieu, City"
173,Employee 173,Pump Attendant,12,0844346227,employee173@example.com,2023-10-20,"Duong Le Duan, City"
174,Employee 174,Cashier,30,0132115887,employee174@example.com,2023-04-09,"Duong Dien Bien Phu, City"
175,Employee 175,Cashier,89,0101977746,employee175@example.com,2023-08-28,"Vo Van Ngan, City"
176,Employee 176,Cashier,69,0639497938,employee176@example.com,2024-02-04,"Xo Viet Nghe Tinh, City"
177,Employee 177,Maintenance,59,0310777461,employee177@example.com,2023-07-03,"Tran Nao, City"
178,Employee 178,Cashier,24,0212340709,employee178@example.com,2023-10-20,"Duong Vo Van Kiet, City"
179,Employee 179,Cashier,11,0957759270,employee179@example.com,2023-06-16,"Nguyen Dinh Chieu, City"
180,Employee 180,Maintenance,34,0110647974,employee180@example.com,2023-06-15,"Ham Nghi, City"
181,Employee 181,Pump Attendant,54,0803751267,employee181@example.com,2023-06-25,"Nguyen Dinh Chieu, City"
182,Employee 182,Cashier,35,0985171475,employee182@example.com,2023-09-11,"Duong Le Duan, City"
183,Employee 183,Cashier,27,0670388224,employee183@example.com,2023-09-18,"Ly Thai To, City"
184,Employee 184,Pump Attendant,33,0532200187,employee184@example.com,2023-06-27,"Nam Ky Khoi Nghia, City"
185,Employee 185,Manager,25,0886348148,employee185@example.com,2023-08-18,"Tran Nao, City"
186,Employee 186,Manager,9,0405318557,employee186@example.com,2024-02-27,"Duong Le Duan, City"
187,Employee 187,Pump Attendant,28,0870385918,employee187@example.com,2023-09-18,"Thong Nhat, City"
188,Employee 188,Manager,22,0590931801,employee188@example.com,2023-06-14,"Duong Ton Duc Thang, City"
189,Employee 189,Manager,50,0202172992,employee189@example.com,2024-02-25,"Duong Tran Quoc Thao, City"
190,Employee 190,Maintenance,5,0477567017,employee190@example.com,2023-10-13,"Ky Con, City"
191,Employee 191,Manager,90,0775160806,employee191@example.com,2024-03-12,"Duong Nguyen Thi Minh Khai, City"
192,Employee 192,Cashier,51,0628547843,employee192@example.com,2023-07-21,"Duong Nguyen Van Cu, City"
193,Employee 193,Maintenance,8,0457810289,employee193@example.com,2024-01-16,"Pham Van Dong, City"
194,Employee 194,Manager,10,0436416105,employee194@example.com,2023-04-11,"Duong Phan Xich Long, City"
195,Employee 195,Maintenance,59,0796627071,employee195@example.com,2023-09-17,"Duong Vo Van Kiet, City"
196,Employee 196,Pump Attendant,52,0891848776,employee196@example.com,2024-02-26,"Duong Phan Xich Long, City"
197,Employee 197,Maintenance,88,0856196207,employee197@example.com,2024-01-17,"Ton Duc Thang, City"
198,Employee 198,Cashier,49,0748827741,employee198@example.com,2024-03-18,"Nguyen Van Cu, City"
199,Employee 199,Cashier,99,0814191167,employee199@example.com,2024-03-07,"Le Lai, City"
200,Employee 200,Pump Attendant,56,0867288316,employee200@example.com,2023-10-22,"Duong Hai Ba Trung, City"
201,Employee 201,Cashier,74,0432585671,employee201@example.com,2023-10-15,"Phan Van Tri, City"
202,Employee 202,Pump Attendant,2,0952259090,employee202@example.com,2024-03-29,"Phan Van Tri, City"
203,Employee 203,Manager,86,0562858794,employee203@example.com,2023-11-25,"Duong Nguyen Thi Minh Khai, City"
204,Employee 204,Manager,11,0901894724,employee204@example.com,2023-08-28,"Cach Mang Thang Tam, City"
205,Employee 205,Maintenance,6,0348087193,employee205@example.com,2024-01-02,"Duong Hung Vuong, City"
206,Employee 206,Pump Attendant,27,0105203053,employee206@example.com,2023-10-17,"Dien Bien Phu, City"
207,Employee 207,Maintenance,48,0113686808,employee207@example.com,2024-02-04,"Phan Van Tri, City"
208,Employee 208,Cashier,16,0771027941,employee208@example.com,2024-01-30,"Duong Nguyen Binh Khiem, City"
209,Employee 209,Pump Attendant,31,0472197412,employee209@example.com,2023-05-29,"Nguyen Hue, City"
210,Employee 210,Cashier,56,0934391670,employee210@example.com,2024-02-14,"Duong Le Van Sy, City"
211,Employee 211,Manager,52,0340636416,employee211@example.com,2023-11-14,"Duong Tran Quoc Thao, City"
212,Employee 212,Pump Attendant,37,0952850672,employee212@example.com,2024-02-26,"Tran Xuan Soan, City"
213,Employee 213,Maintenance,18,0753297986,employee213@example.com,2023-05-15,"Nam Ky Khoi Nghia, City"
214,Employee 214,Pump Attendant,12,0461077073,employee214@example.com,2024-01-14,"Ky Con, City"
215,Employee 215,Manager,16,0227288113,employee215@example.com,2023-12-11,"Duong Cach Mang Thang Tam, City"
216,Employee 216,Cashier,3,0359957523,employee216@example.com,2023-12-19,"Nguyen Dinh Chieu, City"
217,Employee 217,Manager,96,0867410505,employee217@example.com,2023-07-19,"Duong Ton Duc Thang, City"
218,Employee 218,Manager,15,0172694832,employee218@example.com,2023-10-18,"Ly Thai To, City"
219,Employee 219,Maintenance,81,0918486734,employee219@example.com,2023-09-01,"Cach Mang Thang Tam, City"
220,Employee 220,Cashier,73,0983207918,employee220@example.com,2023-11-19,"Duong Vo Thi Sau, City"
221,Employee 221,Manager,5,0800538760,employee221@example.com,2023-06-10,"Nam Ky Khoi Nghia, City"
222,Employee 222,Maintenance,96,0481820299,employee222@example.com,2023-08-28,"Duong Pasteur, City"
223,Employee 223,Maintenance,57,0935958984,employee223@example.com,2024-02-11,"Tran Xuan Soan, City"
224,Employee 224,Cashier,49,0248014100,employee224@example.com,2023-07-13,"Nguyen Van Cu, City"
225,Employee 225,Manager,53,0227605087,employee225@example.com,2024-03-03,"Vo Van Ngan, City"
226,Employee 226,Cashier,44,0233011671,employee226@example.com,2023-12-12,"Duong Pasteur, City"
227,Employee 227,Pump Attendant,71,0205678503,employee227@example.com,2023-05-09,"Hong Bang, City"
228,Employee 228,Maintenance,39,0205449288,employee228@example.com,2023-11-21,"Thong Nhat, City"
229,Employee 229,Manager,26,0550580680,employee229@example.com,2023-12-11,"Vo Van Ngan, City"
230,Employee 230,Pump Attendant,86,0737576782,employee230@example.com,2024-01-08,"Duong Tran Hung Dao, City"
231,Employee 231,Maintenance,95,0893616894,employee231@example.com,2023-06-26,"Nguyen Dinh Chieu, City"
232,Employee 232,Maintenance,48,0575380766,employee232@example.com,2023-07-01,"Duong Nguyen Thi Minh Khai, City"
233,Employee 233,Cashier,30,0856453710,employee233@example.com,2023-12-20,"Duong Le Thanh Ton, City"
234,Employee 234,Pump Attendant,51,0611695799,employee234@example.com,2023-04-17,"Ky Con, City"
235,Employee 235,Manager,52,0396553746,employee235@example.com,2023-07-03,"Duong Tran Hung Dao, City"
236,Employee 236,Manager,27,0678777302,employee236@example.com,2023-04-02,"Tran Quoc Toan, City"
237,Employee 237,Pump Attendant,67,0531293684,employee237@example.com,2023-05-08,"Nguyen Tri Phuong, City"
238,Employee 238,Manager,29,0681863810,employee238@example.com,2023-06-09,"Duong Vo Van Kiet, City"
239,Employee 239,Manager,72,0598792460,employee239@example.com,2023-07-23,"Duong Nguyen Hue, City"
240,Employee 240,Maintenance,26,0805497979,employee240@example.com,2023-11-27,"Duong Pasteur, City"
241,Employee 241,Pump Attendant,57,0102930316,employee241@example.com,2023-04-10,"Tran Nao, City"
242,Employee 242,Manager,97,0286817654,employee242@example.com,2023-11-03,"Dai Lo Dong Tay, City"
243,Employee 243,Manager,76,0488690299,employee243@example.com,2023-07-17,"Tran Xuan Soan, City"
244,Employee 244,Cashier,92,0542543752,employee244@example.com,2023-08-20,"Xa Lo Ha Noi, City"
245,Employee 245,Pump Attendant,77,0272755058,employee245@example.com,2024-03-21,"Bach Dang, City"
246,Employee 246,Pump Attendant,74,0190371643,employee246@example.com,2023-05-29,"Nguyen Cong Tru, City"
247,Employee 247,Maintenance,57,0223498981,employee247@example.com,2023-05-29,"Tran Xuan Soan, City"
248,Employee 248,Manager,78,0162556066,employee248@example.com,2024-02-16,"Tran Quoc Toan, City"
249,Employee 249,Pump Attendant,70,0219375755,employee249@example.com,2023-12-10,"Duong Le Duan, City"
250,Employee 250,Maintenance,39,0672793332,employee250@example.com,2024-02-11,"Phan Van Tri, City"
251,Employee 251,Manager,7,0163104546,employee251@example.com,2023-10-08,"Tran Xuan Soan, City"
252,Employee 252,Manager,73,0480369450,employee252@example.com,2023-06-15,"Nguyen Thi Thap, City"
253,Employee 253,Manager,44,0613040149,employee253@example.com,2024-03-05,"Nguyen Tri Phuong, City"
254,Employee 254,Cashier,58,0749776601,employee254@example.com,2024-03-31,"Nguyen Hue, City"
255,Employee 255,Pump Attendant,87,0732827361,employee255@example.com,2024-01-16,"Nguyen Van Cu, City"
256,Employee 256,Maintenance,68,0325063449,employee256@example.com,2024-03-15,"Duong Tran Hung Dao, City"
257,Employee 257,Pump Attendant,2,0368385799,employee257@example.com,2023-07-17,"Duong Nguyen Huu Canh, City"
258,Employee 258,Cashier,3,0328918890,employee258@example.com,2023-10-05,"Le Lai, City"
259,Employee 259,Pump Attendant,100,0278872288,employee259@example.com,2023-05-14,"Nguyen Tri Phuong, City"
260,Employee 260,Cashier,76,0942474054,employee260@example.com,2023-08-15,"Duong Ton Duc Thang, City"
261,Employee 261,Cashier,100,0185337037,employee261@example.com,2023-10-24,"Ha Huy Giap, City"
262,Employee 262,Maintenance,7,0765005679,employee262@example.com,2024-01-30,"Duong Le Thanh Ton, City"
263,Employee 263,Cashier,51,0361096945,employee263@example.com,2023-10-12,"Duong Truong Dinh, City"
264,Employee 264,Pump Attendant,52,0903306680,employee264@example.com,2024-01-03,"Duong Le Van Sy, City"
265,Employee 265,Manager,62,0430732293,employee265@example.com,2024-01-24,"Duong Phan Xich Long, City"
266,Employee 266,Pump Attendant,53,0990334931,employee266@example.com,2023-11-21,"Duong Cach Mang Thang Tam, City"
267,Employee 267,Cashier,27,0913365620,employee267@example.com,2023-05-20,"Nguyen Hong, City"
268,Employee 268,Cashier,70,0746065238,employee268@example.com,2023-11-03,"Duong Tran Hung Dao, City"
269,Employee 269,Pump Attendant,95,0415018739,employee269@example.com,2023-08-15,"Nguyen Tat Thanh, City"
270,Employee 270,Manager,59,0922516603,employee270@example.com,2023-10-30,"Cach Mang Thang Tam, City"
271,Employee 271,Pump Attendant,89,0965864948,employee271@example.com,2023-12-16,"Tran Nao, City"
272,Employee 272,Pump Attendant,52,0456457050,employee272@example.com,2023-06-22,"Duong Le Thanh Ton, City"
